"filename", "language", "YAML", "Swift", "C++", "Dart", "JSON", "Gradle", "XML", "comment", "blank", "total"
"d:\komiwall-master\komiwall-master\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"d:\komiwall-master\komiwall-master\android\app\google-services.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 29
"d:\komiwall-master\komiwall-master\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 9, 18
"d:\komiwall-master\komiwall-master\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\komiwall-master\komiwall-master\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"d:\komiwall-master\komiwall-master\firebase.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\komiwall-master\komiwall-master\lib\blocs\auth_bloc\auth_bloc\auth_cubit.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\komiwall-master\komiwall-master\lib\blocs\game_bloc\game_cubit.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"d:\komiwall-master\komiwall-master\lib\blocs\game_bloc\game_states.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\komiwall-master\komiwall-master\lib\blocs\leaderboard_bloc\leaderboard_cubit.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, -14, 0, 0
"d:\komiwall-master\komiwall-master\lib\blocs\user_bloc\user_cubit.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, -27, 2, 18
"d:\komiwall-master\komiwall-master\lib\components\cashout_comp\cashout_card.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\komiwall-master\komiwall-master\lib\components\game_comp\game_card.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"d:\komiwall-master\komiwall-master\lib\components\general\my_appbar.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\app_info_box.dart", "Dart", 0, 0, 0, 200, 0, 0, 0, 5, 8, 213
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\user_action_box.dart", "Dart", 0, 0, 0, 247, 0, 0, 0, 9, 3, 259
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\user_details_box.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 6, 5, 102
"d:\komiwall-master\komiwall-master\lib\firebase_options.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 12, 3, 63
"d:\komiwall-master\komiwall-master\lib\main.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\komiwall-master\komiwall-master\lib\models\leaderboard_model.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 5, 9, 53
"d:\komiwall-master\komiwall-master\lib\models\tapwar_ranking_model.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 5, 6, 43
"d:\komiwall-master\komiwall-master\lib\models\user_data_model.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\komiwall-master\komiwall-master\lib\screens\auth\login_page.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\komiwall-master\komiwall-master\lib\screens\auth\signup_page.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\komiwall-master\komiwall-master\lib\screens\index.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\komiwall-master\komiwall-master\lib\screens\main\cashout_page.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\komiwall-master\komiwall-master\lib\screens\main\game_page.dart", "Dart", 0, 0, 0, -35, 0, 0, 0, 0, -1, -36
"d:\komiwall-master\komiwall-master\lib\screens\main\games\scratch_game.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\komiwall-master\komiwall-master\lib\screens\main\games\tap_game.dart", "Dart", 0, 0, 0, -2, 0, 0, 0, -1, -7, -10
"d:\komiwall-master\komiwall-master\lib\screens\main\games\wheel_game.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"d:\komiwall-master\komiwall-master\lib\screens\main\ranking_page.dart", "Dart", 0, 0, 0, 198, 0, 0, 0, 0, 2, 200
"d:\komiwall-master\komiwall-master\lib\screens\profile_page.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 3, 3, 103
"d:\komiwall-master\komiwall-master\lib\screens\wallet_page.dart", "Dart", 0, 0, 0, 300, 0, 0, 0, 7, 7, 314
"d:\komiwall-master\komiwall-master\lib\services\auth_api\auth_api.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\komiwall-master\komiwall-master\lib\services\firebase_api.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, -45, 2, 10
"d:\komiwall-master\komiwall-master\lib\services\game_api\tap_war_api.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"d:\komiwall-master\komiwall-master\lib\services\game_api\wheel_api.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"d:\komiwall-master\komiwall-master\lib\services\leaderboard_api\leaderboard_api.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\komiwall-master\komiwall-master\lib\services\user_api\user_api.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"d:\komiwall-master\komiwall-master\lib\src\app_root.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, -7, 0, 9
"d:\komiwall-master\komiwall-master\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\komiwall-master\komiwall-master\pubspec.yaml", "YAML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\komiwall-master\komiwall-master\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 7, 10, 3, 1628, 30, 2, 14, -38, 84, 1740