"filename", "language", "YAML", "Swift", "Markdown", "JSON", "C++", "XML", "Dart", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"d:\komiwall-master\komiwall-master\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\komiwall-master\komiwall-master\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\komiwall-master\komiwall-master\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 7, 12, 72
"d:\komiwall-master\komiwall-master\android\app\google-services.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"d:\komiwall-master\komiwall-master\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"d:\komiwall-master\komiwall-master\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 11, 10, 64
"d:\komiwall-master\komiwall-master\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\komiwall-master\komiwall-master\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\komiwall-master\komiwall-master\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"d:\komiwall-master\komiwall-master\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\komiwall-master\komiwall-master\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\komiwall-master\komiwall-master\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"d:\komiwall-master\komiwall-master\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\komiwall-master\komiwall-master\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\komiwall-master\komiwall-master\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\komiwall-master\komiwall-master\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 2, 5, 30
"d:\komiwall-master\komiwall-master\firebase.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\komiwall-master\komiwall-master\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\komiwall-master\komiwall-master\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\komiwall-master\komiwall-master\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\komiwall-master\komiwall-master\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\komiwall-master\komiwall-master\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\komiwall-master\komiwall-master\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"d:\komiwall-master\komiwall-master\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"d:\komiwall-master\komiwall-master\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\komiwall-master\komiwall-master\lib\blocs\auth_bloc\auth_bloc\auth_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"d:\komiwall-master\komiwall-master\lib\blocs\auth_bloc\auth_bloc\auth_states.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\komiwall-master\komiwall-master\lib\blocs\cash_bloc\cash_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 47
"d:\komiwall-master\komiwall-master\lib\blocs\cash_bloc\cash_states.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\komiwall-master\komiwall-master\lib\blocs\earn_bloc\earn_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 7, 41
"d:\komiwall-master\komiwall-master\lib\blocs\earn_bloc\earn_states.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 8, 31
"d:\komiwall-master\komiwall-master\lib\blocs\game_bloc\game_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 8, 70
"d:\komiwall-master\komiwall-master\lib\blocs\game_bloc\game_states.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"d:\komiwall-master\komiwall-master\lib\blocs\leaderboard_bloc\leaderboard_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\komiwall-master\komiwall-master\lib\blocs\leaderboard_bloc\leaderboard_states.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\komiwall-master\komiwall-master\lib\blocs\user_bloc\user_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 9, 95
"d:\komiwall-master\komiwall-master\lib\blocs\user_bloc\user_states.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 8, 32
"d:\komiwall-master\komiwall-master\lib\components\cashout_comp\cashout_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 4, 108
"d:\komiwall-master\komiwall-master\lib\components\cashout_comp\cashout_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 1, 3, 103
"d:\komiwall-master\komiwall-master\lib\components\earn_comp\network_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 5, 93
"d:\komiwall-master\komiwall-master\lib\components\game_comp\game_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 6, 78
"d:\komiwall-master\komiwall-master\lib\components\game_comp\game_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"d:\komiwall-master\komiwall-master\lib\components\general\auth_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 6, 83
"d:\komiwall-master\komiwall-master\lib\components\general\background.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"d:\komiwall-master\komiwall-master\lib\components\general\login_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 4, 46
"d:\komiwall-master\komiwall-master\lib\components\general\my_appbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 4, 88
"d:\komiwall-master\komiwall-master\lib\components\general\my_navbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"d:\komiwall-master\komiwall-master\lib\components\general\shimmer.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\komiwall-master\komiwall-master\lib\components\home_comp\featured_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 2, 52
"d:\komiwall-master\komiwall-master\lib\components\home_comp\leads_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 72
"d:\komiwall-master\komiwall-master\lib\components\home_comp\offerwall_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 2, 86
"d:\komiwall-master\komiwall-master\lib\components\navbar_dep.dart", "Dart", 0, 0, 0, 0, 0, 0, 466, 0, 0, 0, 21, 44, 531
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\app_info_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 5, 8, 213
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\user_action_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 9, 3, 259
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\user_details_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 6, 5, 102
"d:\komiwall-master\komiwall-master\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 3, 63
"d:\komiwall-master\komiwall-master\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\komiwall-master\komiwall-master\lib\models\cashout_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"d:\komiwall-master\komiwall-master\lib\models\leaderboard_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 9, 53
"d:\komiwall-master\komiwall-master\lib\models\leads_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 6, 46
"d:\komiwall-master\komiwall-master\lib\models\networks_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 6, 49
"d:\komiwall-master\komiwall-master\lib\models\tapwar_ranking_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 6, 43
"d:\komiwall-master\komiwall-master\lib\models\user_data_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 12, 155
"d:\komiwall-master\komiwall-master\lib\models\youmi_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 17, 190
"d:\komiwall-master\komiwall-master\lib\screens\auth\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 8, 145
"d:\komiwall-master\komiwall-master\lib\screens\auth\signup_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 7, 249
"d:\komiwall-master\komiwall-master\lib\screens\auth\welcome_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"d:\komiwall-master\komiwall-master\lib\screens\index.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 10, 78
"d:\komiwall-master\komiwall-master\lib\screens\main\cashout_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 4, 75
"d:\komiwall-master\komiwall-master\lib\screens\main\game_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"d:\komiwall-master\komiwall-master\lib\screens\main\games\scratch_game.dart", "Dart", 0, 0, 0, 0, 0, 0, 337, 0, 0, 0, 1, 12, 350
"d:\komiwall-master\komiwall-master\lib\screens\main\games\tap_game.dart", "Dart", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 7, 240
"d:\komiwall-master\komiwall-master\lib\screens\main\games\wheel_game.dart", "Dart", 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 17, 219
"d:\komiwall-master\komiwall-master\lib\screens\main\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 10, 199
"d:\komiwall-master\komiwall-master\lib\screens\main\ranking_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 5, 216
"d:\komiwall-master\komiwall-master\lib\screens\profile_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 3, 3, 103
"d:\komiwall-master\komiwall-master\lib\screens\wallet_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 7, 7, 314
"d:\komiwall-master\komiwall-master\lib\services\auth_api\auth_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 9, 67
"d:\komiwall-master\komiwall-master\lib\services\cashout_api\cashout_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 8, 54
"d:\komiwall-master\komiwall-master\lib\services\earn_api\leads_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
"d:\komiwall-master\komiwall-master\lib\services\earn_api\networks_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"d:\komiwall-master\komiwall-master\lib\services\earn_api\offers_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"d:\komiwall-master\komiwall-master\lib\services\firebase_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 6, 59
"d:\komiwall-master\komiwall-master\lib\services\functional\auth_handler.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 56, 9, 96
"d:\komiwall-master\komiwall-master\lib\services\functional\image_cacher.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\komiwall-master\komiwall-master\lib\services\functional\overrides.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\komiwall-master\komiwall-master\lib\services\functional\web_view_handler.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 9, 59
"d:\komiwall-master\komiwall-master\lib\services\game_api\scratch_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"d:\komiwall-master\komiwall-master\lib\services\game_api\tap_war_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"d:\komiwall-master\komiwall-master\lib\services\game_api\wheel_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"d:\komiwall-master\komiwall-master\lib\services\leaderboard_api\leaderboard_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\komiwall-master\komiwall-master\lib\services\user_api\user_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 11, 90
"d:\komiwall-master\komiwall-master\lib\src\app_color.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\komiwall-master\komiwall-master\lib\src\app_navigation.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\komiwall-master\komiwall-master\lib\src\app_root.dart", "Dart", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 4, 81
"d:\komiwall-master\komiwall-master\lib\src\app_shared.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\komiwall-master\komiwall-master\lib\src\app_size.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\komiwall-master\komiwall-master\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"d:\komiwall-master\komiwall-master\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"d:\komiwall-master\komiwall-master\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\komiwall-master\komiwall-master\linux\my_application.cc", "C++", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 17, 26, 125
"d:\komiwall-master\komiwall-master\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"d:\komiwall-master\komiwall-master\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\komiwall-master\komiwall-master\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\komiwall-master\komiwall-master\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\komiwall-master\komiwall-master\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\komiwall-master\komiwall-master\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"d:\komiwall-master\komiwall-master\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\komiwall-master\komiwall-master\pubspec.yaml", "YAML", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 15, 112
"d:\komiwall-master\komiwall-master\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 6, 30
"d:\komiwall-master\komiwall-master\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"d:\komiwall-master\komiwall-master\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\komiwall-master\komiwall-master\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 5, 18
"d:\komiwall-master\komiwall-master\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"d:\komiwall-master\komiwall-master\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 16, 72
"d:\komiwall-master\komiwall-master\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"d:\komiwall-master\komiwall-master\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"d:\komiwall-master\komiwall-master\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"d:\komiwall-master\komiwall-master\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"d:\komiwall-master\komiwall-master\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"d:\komiwall-master\komiwall-master\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"d:\komiwall-master\komiwall-master\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 49, 68, 13, 278, 549, 484, 5709, 38, 92, 8, 437, 763, 8488